,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Santiago de Cao,-7.9589,-79.2392,62.73,82,100,10.36,PE,1658608806
1,Atuona,-9.8,-139.0333,77.54,77,35,19.1,PF,1658608575
2,Prieska,-29.6641,22.7474,49.1,66,0,12.91,ZA,1658608806
3,Busselton,-33.65,115.3333,51.3,66,79,14.2,AU,1658608806
4,Jamestown,42.097,-79.2353,80.51,65,75,18.41,US,1658608807
5,Rikitea,-23.1203,-134.9692,72.37,65,0,6.6,PF,1658608807
6,Srednekolymsk,67.45,153.6833,59.41,40,2,11.65,RU,1658608807
7,Vanimo,-2.6741,141.3028,76.77,92,68,3.8,PG,1658608807
8,Cape Town,-33.9258,18.4232,56.37,66,20,12.66,ZA,1658608808
9,Sangar,63.9242,127.4739,63.34,80,4,5.17,RU,1658608808
10,Ospitaletto,45.1333,10.6,86.95,75,100,7.85,IT,1658608808
11,Cidreira,-30.1811,-50.2056,62.1,99,47,9.48,BR,1658608619
12,Beringovskiy,63.05,179.3167,44.71,84,100,16.75,RU,1658608809
13,Luanda,-8.8368,13.2343,68.31,93,22,10.69,AO,1658608809
14,Beira,-19.8436,34.8389,64.49,100,20,5.75,MZ,1658608809
15,Punta Arenas,-53.15,-70.9167,37.51,65,0,8.05,CL,1658608810
16,Tsabong,-26.0217,22.401,58.69,35,3,16.08,BW,1658608810
17,Solikamsk,59.6196,56.7729,59.22,98,45,3.09,RU,1658608810
18,Leningradskiy,69.3833,178.4167,34.79,93,100,8.28,RU,1658608810
19,Vardø,70.3705,31.1107,53.58,82,100,6.91,NO,1658608811
20,East London,-33.0153,27.9116,57.63,71,72,18.19,ZA,1658608811
21,Port-Gentil,-0.7193,8.7815,73.36,78,75,5.75,GA,1658608811
22,Hermanus,-34.4187,19.2345,45.81,72,47,4.52,ZA,1658608812
23,Vaini,-21.2,-175.2,71.73,66,100,23.31,TO,1658608812
24,Port-Cartier,50.0334,-66.8654,71.82,84,67,5.48,CA,1658608812
25,Lyuban',52.7985,28.0048,65.43,79,40,7.4,BY,1658608813
26,Province of Mantua,45.1667,10.7833,75.25,74,100,7.65,IT,1658608813
27,Castro,-24.7911,-50.0119,61.57,64,100,3.09,BR,1658608691
28,São João da Barra,-21.6403,-41.0511,77.09,84,3,16.35,BR,1658608813
29,Dhidhdhoo,6.8833,73.1,81.37,77,96,15.84,MV,1658608813
30,Mossamedes,-15.1961,12.1522,64.26,88,55,2.59,AO,1658608681
31,Ushuaia,-54.8,-68.3,30.16,94,65,5.95,AR,1658608814
32,Ahipara,-35.1667,173.1667,55.56,89,100,16.44,NZ,1658608814
33,Faya,18.3851,42.4509,64.92,65,100,4.07,SA,1658608814
34,Makakilo City,21.3469,-158.0858,82.0,60,20,16.11,US,1658608815
35,Lima,-12.0432,-77.0282,63.99,73,40,8.61,PE,1658608580
36,Saskylakh,71.9167,114.0833,52.2,84,66,2.8,RU,1658608815
37,Necochea,-38.5473,-58.7368,55.33,82,94,2.57,AR,1658608815
38,Shingū,33.7333,135.9833,73.65,77,90,4.07,JP,1658608816
